date,total_passengers
1999 January,2372578
1999 February,2332664
1999 March,2825328
1999 April,2901478
1999 May,3263955
1999 June,3226738
1999 July,3610786
1999 August,3709274
1999 September,3467185
1999 October,3449646
1999 November,2802951
1999 December,2462530
2000 January,2490645
2000 February,2561520
2000 March,3067554
2000 April,3226951
2000 May,3546493
2000 June,3492787
2000 July,3952263
2000 August,3932072
2000 September,3720284
2000 October,3651555
2000 November,2914972
2000 December,2713514
2001 January,2703997
2001 February,2591373
2001 March,3163748
2001 April,3355137
2001 May,3613702
2001 June,3686773
2001 July,4098716
2001 August,4063517
2001 September,3551489
2001 October,3226663
2001 November,2656842
2001 December,2597484
2002 January,2572399
2002 February,2596631
2002 March,3165225
2002 April,3303145
2002 May,3698247
2002 June,3668631
2002 July,4130433
2002 August,4131400
2002 September,3864358
2002 October,3721110
2002 November,2892532
2002 December,2843451
2003 January,2747502
2003 February,2668775
2003 March,3018602
2003 April,3013392
2003 May,3393657
2003 June,3544233
2003 July,4075832
2003 August,4032923
2003 September,3734509
2003 October,3761285
2003 November,2970090
2003 December,2847849
2004 January,2741680
2004 February,2830639
2004 March,3257673
2004 April,3480085
2004 May,3843271
2004 June,3796961
2004 July,4337767
2004 August,4243630
2004 September,3927202
2004 October,3915296
2004 November,3087396
2004 December,2963792
2005 January,2955792
2005 February,2829925
2005 March,3281195
2005 April,3548011
2005 May,4059648
2005 June,3941175
2005 July,4528594
2005 August,4433151
2005 September,4145737
2005 October,4077132
2005 November,3198519
2005 December,3078660
2006 January,3028207
2006 February,2858444
2006 March,3399315
2006 April,3808994
2006 May,4176097
2006 June,4228327
2006 July,4744439
2006 August,4608170
2006 September,4295374
2006 October,4201473
2006 November,3353275
2006 December,3286851
2007 January,3169889
2007 February,3051720
2007 March,3695426
2007 April,3905501
2007 May,4296458
2007 June,4246247
2007 July,4921849
2007 August,4821446
2007 September,4425064
2007 October,4379099
2007 November,3472889
2007 December,3359160
2008 January,3200944
2008 February,3153170
2008 March,3741498
2008 April,3918719
2008 May,4403449
2008 June,4400407
2008 July,4847473
2008 August,4716136
2008 September,4297440
2008 October,4272253
2008 November,3271834
2008 December,3168388
2009 January,2911748
2009 February,2720999
2009 March,3199918
2009 April,3672623
2009 May,3892013
2009 June,3850845
2009 July,4532467
2009 August,4484739
2009 September,4014972
2009 October,3983758
2009 November,3158459
2009 December,3100569
2010 January,2935404
2010 February,2855719
2010 March,3465611
2010 April,3006985
2010 May,4095110
2010 June,4104793
2010 July,4730788
2010 August,4642726
2010 September,4246919
2010 October,4308032
2010 November,3508154
2010 December,3236641
2011 January,3257275
2011 February,3045631
2011 March,3657692
2011 April,4125747
2011 May,4472507
2011 June,4513455
2011 July,5150896
2011 August,5057815
2011 September,4681742
2011 October,4603682
2011 November,3580181
2011 December,3534002
2012 January,3422762
2012 February,3295209
2012 March,3868093
2012 April,4189245
2012 May,4544332
2012 June,4612845
2012 July,5221595
2012 August,5137505
2012 September,4760439
2012 October,4643697
2012 November,3692267
2012 December,3587603
2013 January,3386231
2013 February,3265809
2013 March,3968009
2013 April,4332719
2013 May,4864335
2013 June,4855577
2013 July,5322568
2013 August,5333474
2013 September,4897174
2013 October,4745696
2013 November,3772625
2013 December,3783482
2014 January,3616552
2014 February,3435592
2014 March,4076472
2014 April,4560642
2014 May,4987951
2014 June,5032637
2014 July,5455674
2014 August,5618436
2014 September,5185505
2014 October,5023568
2014 November,3972843
2014 December,3974662
2015 January,3719441
2015 February,3602644
2015 March,4194059
2015 April,4769994
2015 May,5380588
2015 June,5321300
2015 July,5914428
2015 August,5937238
2015 September,5466239
2015 October,5326372
2015 November,4325395
2015 December,4287593
2016 January,4108820
2016 February,4095405
2016 March,4745869
2016 April,5243473
2016 May,5732006
2016 June,5736839
2016 July,6370808
2016 August,6402126
2016 September,5866487
2016 October,5782773
2016 November,4694112
2016 December,4747645
2017 January,4559527
2017 February,4324272
2017 March,5161224
2017 April,5837225
2017 May,6207951
2017 June,6144775
2017 July,6729274
2017 August,6788668
2017 September,6258281
2017 October,6242908
2017 November,5170757
2017 December,4975525
2018 January,4908989
2018 February,4741806
2018 March,5559456
2018 April,6016915
2018 May,6393936
2018 June,6377393
2018 July,6765004
2018 August,6836668
2018 September,6396940
2018 October,6402290
2018 November,5296943
2018 December,5260254
2019 January,4996131
2019 February,4836332
2019 March,5630314
2019 April,6104010
2019 May,6441473
2019 June,6502588
2019 July,6724023
2019 August,6810759
2019 September,6493468
2019 October,6431122
2019 November,5323590
2019 December,5386203
